Date,YearMonthDay,YearMonth,Diseases,DiseasesCN,Cases,Deaths,Incidence,Mortality,ProvinceCN,Province,ADCode,DOI,URL,Source
2024-06-01,2024/06/01,2024 June,Total,合计,1117408,2254,-10,-10,全国,China,100000,missing,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1817735919697768448.html,GOV Data
2024-06-01,2024/06/01,2024 June,Plague,鼠疫,0,0,-10,-10,全国,China,100000,missing,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1817735919697768448.html,GOV Data
2024-06-01,2024/06/01,2024 June,Cholera,霍乱,0,0,-10,-10,全国,China,100000,missing,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1817735919697768448.html,GOV Data
2024-06-01,2024/06/01,2024 June,SARS-CoV,传染性非典型肺炎,0,0,-10,-10,全国,China,100000,missing,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1817735919697768448.html,GOV Data
2024-06-01,2024/06/01,2024 June,Acquired immune deficiency syndrome,艾滋病,5201,1680,-10,-10,全国,China,100000,missing,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1817735919697768448.html,GOV Data
2024-06-01,2024/06/01,2024 June,Hepatitis,病毒性肝炎,152225,265,-10,-10,全国,China,100000,missing,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1817735919697768448.html,GOV Data
2024-06-01,2024/06/01,2024 June,Hepatitis A,甲型肝炎,1128,0,-10,-10,全国,China,100000,missing,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1817735919697768448.html,GOV Data
2024-06-01,2024/06/01,2024 June,Hepatitis B,乙型肝炎,129221,24,-10,-10,全国,China,100000,missing,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1817735919697768448.html,GOV Data
2024-06-01,2024/06/01,2024 June,Hepatitis C,丙型肝炎,18600,239,-10,-10,全国,China,100000,missing,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1817735919697768448.html,GOV Data
2024-06-01,2024/06/01,2024 June,Hepatitis D,丁型肝炎,16,0,-10,-10,全国,China,100000,missing,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1817735919697768448.html,GOV Data
2024-06-01,2024/06/01,2024 June,Hepatitis E,戊型肝炎,2738,2,-10,-10,全国,China,100000,missing,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1817735919697768448.html,GOV Data
2024-06-01,2024/06/01,2024 June,Other hepatitis,未分型肝炎,522,0,-10,-10,全国,China,100000,missing,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1817735919697768448.html,GOV Data
2024-06-01,2024/06/01,2024 June,Poliomyelitis,脊髓灰质炎,0,0,-10,-10,全国,China,100000,missing,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1817735919697768448.html,GOV Data
2024-06-01,2024/06/01,2024 June,Human infection with H5N1 virus,人感染高致病性禽流感,0,0,-10,-10,全国,China,100000,missing,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1817735919697768448.html,GOV Data
2024-06-01,2024/06/01,2024 June,Measles,麻疹,201,0,-10,-10,全国,China,100000,missing,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1817735919697768448.html,GOV Data
2024-06-01,2024/06/01,2024 June,Epidemic hemorrhagic fever,流行性出血热,433,0,-10,-10,全国,China,100000,missing,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1817735919697768448.html,GOV Data
2024-06-01,2024/06/01,2024 June,Rabies,狂犬病,13,10,-10,-10,全国,China,100000,missing,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1817735919697768448.html,GOV Data
2024-06-01,2024/06/01,2024 June,Japanese encephalitis,流行性乙型脑炎,5,0,-10,-10,全国,China,100000,missing,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1817735919697768448.html,GOV Data
2024-06-01,2024/06/01,2024 June,Dengue,登革热,130,0,-10,-10,全国,China,100000,missing,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1817735919697768448.html,GOV Data
